Child ID,Age,Gender,Region,Abuse Type,Severity,Reported By,Support Provided,Case Outcome,Case Description,Date,Timestamp,Address,County,Notes,Confidence Score,Flagged,Case Status,Assigned Investigator
1,8.0,Female,Urban,Neglect,Medium,Parent,No,Ongoing,"Repeated absence from school, reported malnutrition.",2019-03-24,23:26:17,"697 Church St, Jackson, MS",Jackson County,,0.0,True,Ongoing,Unassigned
2,5.0,Female,Suburban,Physical,High,Teacher,No,Resolved,Child reported with bruises and scars. Typo heree.,2016-07-13,23:27:48,"566 Main St, Southaven, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
3,1.0,Male,Urban,Neglect,Medium,Teacher,Yes,Dismissed,Child often appears hungry and unwashed. Unclear details.,2016-03-05,07:29:44,"933 Main St, Olive Branch, MS",Hinds County,,0.0,True,Ongoing,Unassigned
4,15.0,Male,Suburban,Emotional,High,Other,No,Ongoing,Child shows signs of withdrawal and fear.,2015-01-01,16:18:39,"136 River Rd, Greenville, MS",Hinds County,,0.0,True,Ongoing,Unassigned
5,6.0,Female,Rural,Physical,Medium,Parent,Yes,Dismissed,Seen limping and reluctant to explain.,2018-11-26,01:27:50,"937 Church St, Jackson, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
6,12.0,Other,Urban,Physical,Medium,Neighbor,No,Resolved,Seen limping and reluctant to explain. Unconfirmed report.,2021-07-25,04:53:37,"403 Church St, Olive Branch, MS",Lee County,,0.0,True,Ongoing,Unassigned
7,8.0,Other,Suburban,Sexual,Medium,Other,Yes,Ongoing,"Unusual behavior, child refuses to discuss.",2022-09-06,23:39:08,"544 Oak St, Olive Branch, MS",Lamar County,,0.0,True,Ongoing,Unassigned
8,13.0,Other,Suburban,Sexual,High,Parent,Yes,Ongoing,"Unusual behavior, child refuses to discuss. Unclear details.",2011-03-23,17:11:55,"528 Church St, Greenville, MS",Hinds County,,0.0,True,Ongoing,Unassigned
9,,Other,Rural,Neglect,Low,Parent,Yes,Dismissed,Child often appears hungry and unwashed.,2012-11-27,11:43:06,"250 Highland Ave, Horn Lake, MS",Lamar County,,0.0,True,Ongoing,Unassigned
10,11.0,Male,Urban,Sexual,High,Teacher,Yes,Ongoing,"Signs of trauma, reported by neighbor. Unclear details.",2020-07-16,01:41:20,"472 Main St, Gulfport, MS",Harrison County,,0.0,True,Ongoing,Unassigned
11,1.0,Female,Urban,Sexual,Low,Other,Yes,Resolved,"Signs of trauma, reported by neighbor. Unconfirmed report.",2012-11-13,17:37:36,"851 Main St, Greenville, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
12,8.0,Other,Urban,Sexual,Medium,Parent,Yes,Resolved,"Unusual behavior, child refuses to discuss. Unconfirmed report.",2014-09-24,07:02:11,"141 Pine St, Biloxi, MS",Hinds County,,0.0,True,Ongoing,Unassigned
13,5.0,Male,Rural,Physical,High,Parent,Yes,Resolved,Seen limping and reluctant to explain. Typo heree.,2021-05-11,23:58:53,"726 Highland Ave, Meridian, MS",Rankin County,,0.0,True,Ongoing,Unassigned
14,17.0,Other,Urban,Physical,Low,Other,Yes,Dismissed,Child reported with bruises and scars. Unclear details.,2018-01-23,09:13:08,"736 Church St, Jackson, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
15,8.0,Female,Rural,Physical,Low,Neighbor,Yes,Ongoing,Seen limping and reluctant to explain. Unconfirmed report.,2011-05-06,00:54:40,"787 River Rd, Meridian, MS",Lee County,,0.0,True,Ongoing,Unassigned
16,10.0,Male,Rural,Sexual,Medium,Other,Yes,Ongoing,Inappropriate comments made by caregiver. Typo heree.,2019-09-15,08:19:36,"518 Cedar St, Meridian, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
17,2.0,Female,Rural,Physical,High,Other,Yes,Ongoing,Child reported with bruises and scars. Unclear details.,2020-12-05,01:58:00,"523 Church St, Jackson, MS",Hinds County,,0.0,True,Ongoing,Unassigned
18,9.0,Female,Suburban,Sexual,Low,Neighbor,Yes,Resolved,Inappropriate comments made by caregiver.,2014-11-07,04:13:03,"803 Maple Ave, Horn Lake, MS",Jackson County,,0.0,True,Ongoing,Unassigned
19,3.0,Male,Urban,Physical,High,Other,Yes,Ongoing,Child reported with bruises and scars. Unconfirmed report.,2022-01-05,15:44:11,"696 Broadway St, Olive Branch, MS",Hinds County,,0.0,True,Ongoing,Unassigned
20,7.0,Male,Urban,Physical,Low,Parent,No,Resolved,Child reported with bruises and scars. Typo heree.,2014-11-17,17:17:45,"245 Main St, Hattiesburg, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
21,15.0,Male,Rural,Emotional,High,Other,No,Ongoing,Reports of constant yelling and verbal abuse. Typo heree.,2012-09-27,16:37:41,"709 Church St, Tupelo, MS",Rankin County,,0.0,True,Ongoing,Unassigned
22,3.0,Male,Rural,Neglect,High,Neighbor,Yes,Resolved,Child often appears hungry and unwashed. Unconfirmed report.,2019-06-15,21:53:27,"173 Pine St, Jackson, MS",Lamar County,,0.0,True,Ongoing,Unassigned
23,14.0,Male,Urban,Sexual,Medium,Police,No,Ongoing,"Signs of trauma, reported by neighbor.",2024-04-05,16:16:25,"754 Cedar St, Jackson, MS",Hinds County,,0.0,True,Ongoing,Unassigned
24,2.0,Male,Rural,Emotional,Medium,Other,No,Dismissed,Reports of constant yelling and verbal abuse.,2019-12-15,13:56:38,"753 Main St, Olive Branch, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
25,14.0,Male,Urban,Physical,Medium,Teacher,No,Dismissed,Seen limping and reluctant to explain. Typo heree.,2023-08-22,15:28:05,"770 Maple Ave, Southaven, MS",Jackson County,,0.0,True,Ongoing,Unassigned
26,11.0,Other,Suburban,Sexual,Medium,Parent,Yes,Resolved,"Signs of trauma, reported by neighbor. Typo heree.",2021-12-15,23:02:36,"833 Maple Ave, Tupelo, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
27,16.0,Female,Rural,Physical,Low,Parent,Yes,Resolved,Seen limping and reluctant to explain. Unclear details.,2022-02-19,08:17:07,"583 River Rd, Olive Branch, MS",Harrison County,,0.0,True,Ongoing,Unassigned
28,8.0,Male,Urban,Neglect,Low,Teacher,Yes,Ongoing,"Repeated absence from school, reported malnutrition.",2013-01-24,02:07:38,"210 River Rd, Greenville, MS",Rankin County,,0.0,True,Ongoing,Unassigned
29,7.0,Other,Rural,Emotional,Low,Teacher,Yes,Ongoing,Child shows signs of withdrawal and fear. Unclear details.,2019-12-09,12:43:22,"799 Park Ave, Gulfport, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
30,11.0,Other,Urban,Neglect,Medium,Other,Yes,Dismissed,"No supervision at home, child wandering streets.",2020-11-23,11:46:04,"248 Maple Ave, Jackson, MS",Forrest County,,0.0,True,Ongoing,Unassigned
31,3.0,Other,Urban,Emotional,Low,Teacher,Yes,Ongoing,Child shows signs of withdrawal and fear.,2013-03-06,05:33:23,"729 Park Ave, Jackson, MS",Lamar County,,0.0,True,Ongoing,Unassigned
32,17.0,Female,Rural,Physical,Medium,Police,No,Resolved,"Frequent injuries, parents claim accidental. Typo heree.",2022-04-05,19:00:18,"910 Church St, Meridian, MS",Lamar County,,0.0,True,Ongoing,Unassigned
33,14.0,Male,Suburban,Neglect,High,Neighbor,No,Resolved,"No supervision at home, child wandering streets. Typo heree.",2015-02-09,10:43:41,"806 Maple Ave, Greenville, MS",Forrest County,,0.0,True,Ongoing,Unassigned
34,6.0,Other,Urban,Neglect,Medium,Teacher,Yes,Resolved,Child often appears hungry and unwashed. Typo heree.,2017-01-08,02:01:31,"687 Church St, Olive Branch, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
35,8.0,Female,Urban,Physical,Medium,Teacher,Yes,Resolved,"Frequent injuries, parents claim accidental. Unclear details.",2020-07-18,16:52:42,"105 Main St, Greenville, MS",Jackson County,,0.0,True,Ongoing,Unassigned
36,5.0,Female,Urban,Neglect,Medium,Police,Yes,Resolved,"Repeated absence from school, reported malnutrition. Typo heree.",2022-04-07,19:59:59,"146 Pine St, Tupelo, MS",Hinds County,,0.0,True,Ongoing,Unassigned
37,8.0,Female,Suburban,Sexual,High,Parent,No,Dismissed,"Signs of trauma, reported by neighbor.",2021-12-29,17:17:13,"653 Main St, Southaven, MS",Rankin County,,0.0,True,Ongoing,Unassigned
38,2.0,Other,Suburban,Emotional,High,Parent,Yes,Dismissed,Low self-esteem observed by teacher. Unclear details.,2013-01-04,22:00:16,"613 Oak St, Meridian, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
39,15.0,Male,Rural,Emotional,High,Other,Yes,Resolved,Low self-esteem observed by teacher. Unclear details.,2022-02-12,01:17:06,"292 Oak St, Hattiesburg, MS",Lowndes County,,0.0,True,Ongoing,Unassigned
40,12.0,Other,Suburban,Emotional,High,Police,Yes,Ongoing,Child shows signs of withdrawal and fear. Unconfirmed report.,2022-11-16,21:46:07,"293 Pine St, Horn Lake, MS",Lee County,,0.0,True,Ongoing,Unassigned
41,17.0,Other,Rural,Sexual,Low,Neighbor,Yes,Resolved,Inappropriate comments made by caregiver. Typo heree.,2021-02-18,16:15:07,"998 Church St, Greenville, MS",Rankin County,,0.0,True,Ongoing,Unassigned
42,1.0,Male,Rural,Emotional,High,Neighbor,Yes,Dismissed,Low self-esteem observed by teacher. Unclear details.,2010-12-03,17:56:55,"272 Cedar St, Hattiesburg, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
43,15.0,Male,Suburban,Physical,Medium,Police,Yes,Resolved,Seen limping and reluctant to explain. Typo heree.,2021-05-21,05:08:14,"778 Park Ave, Horn Lake, MS",Madison County,,0.0,True,Ongoing,Unassigned
44,14.0,Male,Rural,Neglect,Low,Neighbor,No,Dismissed,Child often appears hungry and unwashed. Unclear details.,2024-11-07,14:57:22,"235 Pine St, Gulfport, MS",Forrest County,,0.0,True,Ongoing,Unassigned
45,16.0,Female,Suburban,Sexual,High,Parent,No,Dismissed,"Unusual behavior, child refuses to discuss. Typo heree.",2023-11-10,10:20:59,"634 Church St, Hattiesburg, MS",Forrest County,,0.0,True,Ongoing,Unassigned
46,9.0,Male,Rural,Emotional,Low,Neighbor,No,Resolved,Reports of constant yelling and verbal abuse. Typo heree.,2018-04-12,13:49:28,"759 Broadway St, Gulfport, MS",DeSoto County,,0.0,True,Ongoing,Unassigned
47,1.0,Other,Suburban,Physical,Medium,Neighbor,No,Resolved,Child reported with bruises and scars. Unclear details.,2020-02-24,13:55:22,"421 Church St, Meridian, MS",Harrison County,,0.0,True,Ongoing,Unassigned
48,17.0,Male,Suburban,Neglect,Low,Police,Yes,Ongoing,"Repeated absence from school, reported malnutrition. Typo heree.",2019-09-09,18:43:49,"544 Church St, Gulfport, MS",Harrison County,,0.0,True,Ongoing,Unassigned
